날짜,요일,시간,렘피카,라파엘라,마리네티,타데우스,수지,남작부인,남작
3월 21일,토,19:00,정선아,차지연,조형균,김민철,김혜미,김현숙,김만수
3월 22일,일,14:00,김선영,손승연,김호영,김우형,최장원,문사봉,김만수
3월 22일,일,19:00,박혜나,린아,조형균,김우형,최장원,문사봉,김남수
3월 24일,화,19:30,박혜나,차지연,조형균,김우형,김혜미,문사봉,김만수
3월 25일,수,14:30,정선아,차지연,김호영,김민철,김혜미,김현숙,김남수
3월 25일,수,19:30,김선영,린아,조형균,김우형,최장원,김현숙,김남수
3월 26일,목,19:30,정선아,손승연,조형균,김우형,김혜미,김현숙,김남수
3월 27일,금,19:30,박혜나,손승연,조형균,김민철,김혜미,문사봉,김민수
3월 28일,토,14:00,김선영,린아,김호영,김우형,최장원,문사봉,김민수
3월 28일,토,19:00,정선아,손승연,김호영,김민철,최장원,김현숙,김남수
3월 29일,일,14:00,김선영,차지연,조형균,김민철,김혜미,김현숙,김만수
3월 29일,일,19:00,박혜나,린아,조형균,김민철,김혜미,김현숙,김만수
3월 31일,화,19:30,박혜나,손승연,조형균,김민철,최장원,김현숙,김남수
4월 1일,수,14:30,김선영,차지연,김호영,김우형,김혜미,문사봉,김남수
4월 1일,수,19:30,정선아,린아,김호영,김우형,최장원,문사봉,김남수
4월 2일,목,19:30,박혜나,린아,조형균,김우형,김혜미,김현숙,김남수
4월 3일,금,19:30,정선아,차지연,조형균,김민철,김혜미,김현숙,김민수
4월 4일,토,14:00,박혜나,손승연,김호영,김우형,김혜미,문사봉,김민수
4월 4일,토,19:00,김선영,린아,김호영,김우형,최장원,문사봉,김남수
4월 5일,일,14:00,정선아,손승연,조형균,김민철,최장원,김현숙,김만수
4월 5일,일,19:00,김선영,차지연,조형균,김민철,김혜미,김현숙,김만수
4월 7일,화,19:30,박혜나,손승연,조형균,김우형,김혜미,김현숙,김남수
4월 8일,수,14:30,김선영,린아,김호영,김우형,김혜미,문사봉,김만수
4월 8일,수,19:30,정선아,차지연,김호영,김우형,최장원,문사봉,김민수
4월 9일,목,19:30,김선영,린아,조형균,김민철,김혜미,문사봉,김남수
4월 10일,금,19:30,박혜나,차지연,조형균,김민철,최장원,김현숙,김만수
4월 11일,토,14:00,김선영,손승연,조형균,김우형,최장원,김현숙,김남수
4월 11일,토,19:00,정선아,손승연,조형균,김우형,김혜미,문사봉,김남수
4월 12일,일,14:00,박혜나,차지연,김호영,김우형,김혜미,문사봉,김민수
4월 12일,일,19:00,정선아,차지연,김호영,김우형,김혜미,김현숙,김민수
4월 14일,화,19:30,정선아,린아,조형균,김우형,최장원,문사봉,김남수
4월 15일,수,14:30,김선영,차지연,조형균,김민철,김혜미,김현숙,김만수
4월 15일,수,19:30,박혜나,차지연,조형균,김민철,김혜미,김현숙,김만수
4월 16일,목,19:30,정선아,차지연,김호영,김우형,최장원,문사봉,김남수
4월 17일,금,19:30,박혜나,손승연,조형균,김민철,김혜미,김현숙,김만수
4월 18일,토,14:00,정선아,차지연,조형균,김우형,김혜미,문사봉,김남수
4월 18일,토,19:00,김선영,린아,조형균,김우형,최장원,문사봉,김남수
4월 19일,일,14:00,박혜나,손승연,김호영,김민철,김혜미,김현숙,김만수
4월 19일,일,19:00,김선영,차지연,김호영,김민철,김혜미,김현숙,김만수
4월 21일,화,19:30,김선영,손승연,조형균,김민철,김혜미,김현숙,김남수
4월 22일,수,14:30,박혜나,린아,조형균,김우형,최장원,문사봉,김만수
4월 22일,수,19:30,김선영,차지연,조형균,김우형,최장원,문사봉,김만수
4월 23일,목,19:30,정선아,차지연,김호영,김민철,김혜미,김현숙,김남수
4월 24일,금,19:30,정선아,린아,조형균,김우형,김혜미,문사봉,김만수
4월 25일,토,14:00,박혜나,차지연,김호영,김민철,최장원,문사봉,김남수
4월 25일,토,19:00,김선영,린아,김호영,김민철,김혜미,김현숙,김남수
4월 26일,일,14:00,정선아,손승연,조형균,김우형,최장원,김현숙,김만수
4월 26일,일,19:00,박혜나,린아,조형균,김우형,최장원,김현숙,김만수
4월 29일,수,14:30,정선아,차지연,김호영,김민철,김혜미,김현숙,김민수
4월 29일,수,19:30,김선영,린아,조형균,김민철,김혜미,김현숙,김민수
4월 30일,목,19:30,박혜나,손승연,조형균,김우형,최정원,윤사봉,김남수
5월 1일,금,19:30,정선아,린아,조형균,김민철,김혜미,김현숙,김민수
5월 2일,토,14:00,김선영,손승연,김호영,김우형,최정원,윤사봉,김남수
5월 2일,토,19:00,정선아,린아,김호영,김우형,최정원,윤사봉,김남수
5월 3일,일,14:00,박혜나,손승연,조형균,김민철,김혜미,김현숙,김민수
5월 3일,일,19:00,김선영,손승연,조형균,김민철,김혜미,김현숙,김남수
5월 5일,화,19:00,김선영,린아,조형균,김민철,최정원,김현숙,김민수
5월 6일,수,19:30,정선아,차지연,조형균,김우형,김혜미,윤사봉,김민수
5월 7일,목,19:30,박혜나,손승연,김호영,김민철,김혜미,김현숙,김남수
5월 8일,금,19:30,김선영,손승연,조형균,김우형,김혜미,윤사봉,김남수
5월 9일,토,14:00,박혜나,린아,조형균,김민철,김혜미,김현숙,김남수
5월 9일,토,19:00,정선아,손승연,조형균,김민철,김혜미,김현숙,김남수
5월 10일,일,14:00,김선영,린아,김호영,김우형,최정원,윤사봉,김민수
5월 10일,일,19:00,박혜나,손승연,김호영,김우형,최정원,윤사봉,김남수
5월 12일,화,19:30,정선아,린아,조형균,김우형,김혜미,김현숙,김남수
5월 13일,수,14:30,김선영,손승연,김호영,김민철,김혜미,윤사봉,김민수
5월 13일,수,19:30,박혜나,차지연,김호영,김민철,최정원,윤사봉,김민수
5월 14일,목,19:30,정선아,손승연,조형균,김우형,김혜미,김현숙,김남수
5월 15일,금,19:30,박혜나,린아,조형균,김우형,김혜미,윤사봉,김민수
5월 16일,토,14:00,정선아,손승연,김호영,김민철,최정원,윤사봉,김남수
5월 16일,토,19:00,김선영,손승연,조형균,김민철,최정원,윤사봉,김남수
5월 17일,일,14:00,박혜나,린아,조형균,김우형,김혜미,김현숙,김민수
5월 17일,일,19:00,김선영,차지연,조형균,김우형,김혜미,김현숙,김남수
5월 19일,화,19:30,박혜나,손승연,김호영,김우형,최정원,윤사봉,김민수
5월 20일,수,14:30,김선영,손승연,조형균,김민철,김혜미,김현숙,김남수
5월 20일,수,19:30,박혜나,린아,조형균,김민철,김혜미,김현숙,김남수
5월 21일,목,19:30,정선아,손승연,조형균,김우형,최정원,윤사봉,김민수
5월 22일,금,19:30,정선아,손승연,조형균,김민철,김혜미,김현숙,김민수
5월 23일,토,14:00,김선영,린아,조형균,김우형,김혜미,윤사봉,김남수
5월 23일,토,19:00,박혜나,린아,조형균,김우형,김혜미,윤사봉,김남수
5월 24일,일,14:00,김선영,손승연,조형균,김민철,김혜미,김현숙,김민수
5월 24일,일,19:00,정선아,차지연,조형균,김민철,김혜미,김현숙,김민수
5월 25일,월,14:00,박혜나,린아,김호영,김우형,최정원,윤사봉,김남수
5월 25일,월,19:00,정선아,차지연,김호영,김우형,최정원,윤사봉,김남수
5월 27일,수,14:30,박혜나,손승연,김호영,김민철,김혜미,김현숙,김민수
5월 27일,수,19:30,김선영,차지연,김호영,김민철,김혜미,윤사봉,김민수
5월 28일,목,19:30,정선아,손승연,조형균,김우형,김혜미,김현숙,김남수
5월 29일,금,19:30,김선영,린아,조형균,김민철,최정원,윤사봉,김남수
5월 30일,토,14:00,정선아,손승연,조형균,김우형,김혜미,김현숙,김민수
5월 30일,토,19:00,김선영,손승연,김호영,김우형,김혜미,김현숙,김민수
5월 31일,일,14:00,박혜나,린아,조형균,김민철,최정원,윤사봉,김남수
5월 31일,일,19:00,정선아,차지연,김호영,김민철,최정원,윤사봉,김남수
6월 2일,화,19:30,박혜나,손승연,김호영,김민철,김혜미,김현숙,김남수
6월 3일,수,14:00,정선아,린아,조형균,김우형,최정원,윤사봉,김민수
6월 3일,수,19:00,김선영,손승연,조형균,김우형,최정원,윤사봉,김민수
6월 4일,목,19:30,박혜나,손승연,조형균,김민철,김혜미,김현숙,김남수
6월 5일,금,19:30,정선아,손승연,조형균,김우형,김혜미,김현숙,김민수
6월 6일,토,14:00,김선영,린아,조형균,김민철,최정원,윤사봉,김남수
6월 6일,토,19:00,박혜나,차지연,조형균,김민철,최정원,윤사봉,김남수
6월 7일,일,14:00,정선아,린아,김호영,김우형,김혜미,김현숙,김민수
6월 7일,일,19:00,김선영,차지연,김호영,김우형,김혜미,김현숙,김민수
6월 9일,화,19:30,김선영,손승연,조형균,김민철,최정원,윤사봉,김민수
6월 10일,수,14:30,정선아,린아,조형균,김우형,김혜미,김현숙,김남수
6월 10일,수,19:30,박혜나,손승연,조형균,김우형,김혜미,김현숙,김남수
6월 11일,목,19:30,박혜나,린아,조형균,김민철,최정원,윤사봉,김민수
6월 12일,금,14:30,정선아,손승연,조형균,김민철,김혜미,김현숙,김남수
6월 12일,금,19:30,김선영,린아,조형균,김민철,김혜미,김현숙,김남수
6월 13일,토,14:00,박혜나,손승연,김호영,김우형,김혜미,윤사봉,김민수
6월 13일,토,19:00,김선영,손승연,김호영,김우형,김혜미,윤사봉,김민수
6월 14일,일,14:00,박혜나,린아,조형균,김민철,김혜미,김현숙,김남수
6월 14일,일,19:00,정선아,손승연,조형균,김민철,김혜미,김현숙,김남수
6월 16일,화,14:30,정선아,차지연,김호영,김우형,김혜미,김현숙,김남수
6월 17일,수,14:30,김선영,린아,조형균,김민철,최정원,윤사봉,김민수
6월 17일,수,19:30,정선아,린아,조형균,김민철,최정원,윤사봉,김민수
6월 18일,목,19:30,김선영,차지연,조형균,김우형,최정원,김현숙,김남수
6월 19일,금,14:30,박혜나,손승연,조형균,김민철,김혜미,윤사봉,김민수
6월 19일,금,19:30,정선아,차지연,김호영,김민철,김혜미,윤사봉,김민수
6월 20일,토,14:00,박혜나,린아,조형균,김우형,김혜미,김현숙,김민수
6월 20일,토,19:00,김선영,손승연,조형균,김우형,최정원,윤사봉,김남수
